Var1,Var2,Cat1,Cat2,Cat3,Var3,Var4,Var5,Cat4,Var6,Var7,Var8,Target
79.4,155.6,0,0,0,1.9,35.2,2.5,0,16.4,805.8,103.1,0
90.7,161.5,0,1,1,12.5,8.9,2.3,0,14.9,1130.5,174.2,0
105.8,127.3,0,1,1,5.2,46.6,2.6,0,8.1,1036.4,143.1,0
98,208.6,0,1,1,8.2,5.6,2.3,1,2.4,874,139.7,0
99.2,155.6,1,1,1,5.5,39.1,2.2,0,8.1,974.1,183.3,0
107.2,152.6,0,0,0,3.6,49,2.5,1,2.6,989.2,166.1,1
89.5,155,0,1,1,1.1,28.4,3,1,26.18,867.2,149,1
105.3,136.6,0,0,0,5.7,67.8,2.8,0,5.5,1197.4,123,0
113.2,133.7,0,0,0,11,1.28,3.1,0,13.86,1163,85.3,1
76.7,162.6,0,0,1,4.7,12.3,2.1,0,19.9,748.6,121.1,0
102.5,150.7,0,1,1,0.9,3.92,2.3,1,0.99,793.2,115.2,1
124.7,122.9,1,1,1,6.2,3.04,3.2,0,5.83,951.5,158.2,0
107.2,165.5,0,0,0,21.6,3.2,3,0,2.5,1157.3,101.2,0
106.4,88.1,0,0,0,5.4,8.7,3,0,29.3,816.1,197.4,0
99.1,104.8,0,1,1,3.7,13.36,3.1,1,34.32,1030.6,120.9,1
101.4,125.2,0,1,1,1.1,32.08,2.8,0,0.22,1206.1,185.4,1
82.9,175.8,0,1,1,3.9,1.84,2.9,0,12.1,720,84.3,1
91.3,98.4,0,1,1,3.6,13.7,2.8,0,2.7,1044,102,0
98,108,0,0,1,3.1,1.2,2.7,0,9.13,1190.6,91.1,1
108.7,108.9,0,0,0,5.7,3.84,2.2,0,6.27,919.1,166.5,1
99.2,145.2,1,0,0,2.6,6.72,2.7,1,7.37,928.5,172.1,0
97.5,168.5,0,1,1,1.4,1.84,2.6,0,11.33,1112.8,192.9,1
99.5,138.2,0,1,1,3.1,2.2,2.8,0,2.8,815.4,136.8,1
110.2,101.9,0,0,0,9.1,4.7,2.1,0,5.3,680.3,187.8,0
98.8,142.8,0,0,1,1,13.36,2.4,0,12.1,1028.1,110.6,0
113.5,138,0,0,0,8.7,3.44,3.2,0,11.88,766.4,95.1,1
122.1,154.2,0,0,0,3.3,10.08,2.9,0,24.31,1571,142.3,1
99.8,166.4,0,0,0,10.2,2.5,2.6,0,1.6,799.3,140.4,0
126,128.3,0,0,0,5.6,4.56,2.9,0,7.59,1144.8,85.7,1
93.8,137.3,1,0,1,7.4,66.9,2.5,1,14.4,1277,191.2,0
107.2,185,0,0,0,4.6,6.4,2.7,0,27,1068.4,154.9,0
118.8,151.4,0,0,0,5,21.92,2.8,0,3.08,875.5,183.9,1
105.7,135.9,1,1,1,6.8,6,2.6,0,2.7,517.9,170.6,0
86.1,133.5,1,1,1,6.5,2.3,2.9,0,1,737.1,181.1,0
99.9,146.5,0,0,0,6.5,39.3,2.8,0,14.5,738,141.5,0
98.5,138.7,0,0,1,5.2,9.28,2.5,0,10.89,879.4,145.3,1
87.3,140.6,0,0,1,3.6,70.5,2.6,0,2.4,964.5,121.7,0
95.4,121.6,1,1,1,1.9,23.92,2.5,0,15.51,1259.7,87.8,0
89.4,166.1,0,0,0,0.6,80.2,3,0,32.3,1098.3,147.2,0
81.8,175.7,0,0,0,3.6,1.8,2.9,0,16.4,1091.7,167,0
109.3,169.8,0,1,1,0.8,10.32,2.8,1,8.36,1750.6,196.2,1
96.3,151.2,1,1,1,10.5,28.8,2.5,0,1.5,1107.5,164.6,0
116.5,168.5,0,0,0,6.2,34,2.7,0,38.5,1265.9,96.6,1
95,157.7,1,1,1,4.4,34.3,2,0,15.8,1084.8,107.9,0
104.5,118.6,0,0,0,7.6,6.6,2.3,0,26.8,969,198.9,0
126.5,161.8,1,1,1,1.9,19.44,2.6,0,8.25,884.8,80.4,1
96.4,185,0,1,1,3.6,0.4,2.3,1,7.15,945.9,84.7,1
97,139.1,1,1,1,0.1,46.72,2.7,0,24.31,1006.5,175,1
103.2,153.5,0,0,0,4.9,5.68,2.9,0,3.52,458.3,132.8,1
99.6,161.5,1,0,0,4.9,3.8,2.6,1,12.8,885.4,188.4,1
106.2,121.5,1,0,1,2.3,5.8,2,1,1.8,748.5,156.6,0
101.1,156.3,0,0,0,7.8,47.1,2,0,4.4,1128,178.9,0
105,163.8,0,0,0,1.8,18.4,2.9,0,11.88,1266,131.5,1
99.6,154.2,0,1,1,3.5,7.1,2.1,0,2.8,938.4,195.7,0
108.5,135.2,0,0,0,3.3,18.32,2.5,0,11.99,1390.3,125.5,1
113.2,112.2,0,0,1,0.3,24.56,2.7,0,26.4,1405.8,172,1
93.8,114.8,0,1,1,7.8,6.48,2.4,0,11.22,502.5,174.4,1
107.8,170.4,0,1,1,3.3,0.72,2.4,0,20.68,980.7,82.1,1
109.1,153.7,0,0,0,4.9,10.24,2.9,0,15.4,866.3,181.4,1
98.6,163.6,0,1,1,18.5,7.6,3,0,8.6,974.1,144.1,0
111.6,106,0,0,1,3.4,13.84,3,0,6.38,999.3,147.1,1
99.2,158.1,1,1,1,1.6,6.72,2.8,0,9.79,1157,194.7,1
103.1,175.7,1,0,1,2.9,24.8,2.7,1,30,948.7,198.5,0
87.6,162.9,1,1,1,3.1,0.72,3.2,0,8.58,1328.3,135.4,1
100.9,171.5,1,0,0,1,5.5,2.7,1,4,799.5,143.4,0
115.8,155,1,1,1,3.9,20.5,2.5,0,6,927.3,132.8,0
111.5,100.6,1,1,1,8,34.56,2.6,0,12.76,909.6,86.1,1
88.5,240,1,0,1,5.1,12.6,2,1,23.4,907.5,115.7,0
112.2,150.6,0,0,0,1.4,15.8,2.9,1,7.5,996,199.2,0
98.7,172.5,0,0,1,7.6,2.64,2.5,0,2.31,1118.8,142.2,1
97.1,124.6,1,0,1,2.4,21.2,2.3,1,0.7,870.3,126,0
107.7,123.4,0,1,1,9.6,0.32,2.8,1,4.18,715.8,122.8,1
100.8,130.4,0,0,0,5.9,15.76,2.7,0,5.83,920.3,118.6,1
110.4,147.7,0,1,1,9.1,22.3,2.1,0,7.1,1081.4,138.9,0
116.1,105.6,0,0,0,3.3,26,2.8,0,3.9,847.4,163.4,0
95.8,171.8,0,1,1,5.4,13.5,2.4,0,5.2,1026.5,181.5,0
89.5,140.5,0,0,0,2.2,23.04,3.2,0,10.23,939.4,95.3,1
110.3,142.5,0,0,1,2.9,13.2,3.1,0,5.5,657.3,172.3,0
92.1,141.4,0,1,1,3.1,4.3,2.2,1,8.5,1191.1,138.3,0
97.9,180,0,0,0,4.4,1.2,2.2,0,4.4,1030.3,173.4,0
104.1,127.8,0,1,1,2.2,5.92,2.2,1,18.59,1206,132.6,1
100.3,133.8,1,0,0,6.6,6.6,2.9,1,8.4,993.3,185.5,0
100.4,77.7,0,1,1,3.7,12,2.8,0,8.69,983.2,198.2,1
116.1,178.3,1,0,1,5.7,17.9,2.6,1,12,612.3,162.5,0
124,131.5,0,0,0,1.6,18,2.2,0,12.65,1340.8,197.3,1
96.4,155.9,1,1,1,1.7,25.76,2.2,0,7.59,1262.2,146.5,1
91.6,155.8,0,1,1,4.1,11.84,2.4,0,3.63,932.1,126.6,1
128.7,144.9,0,0,0,9.9,46.9,3,0,1.4,1114.5,148.7,0
99.1,153.6,0,0,0,3.1,2.6,2.6,0,3.5,940.4,121,0
109.2,126.4,0,1,1,5.2,10.48,2.9,1,12.43,1234.1,107.9,1
102.8,112.7,0,0,0,2.2,0.6,2,0,3.3,962.2,182.7,0
99.3,126.1,0,0,0,7.2,21.36,2.5,0,36.52,936.7,110.1,1
109.1,153.9,0,0,0,5.8,18.9,2.2,0,2,920.6,114.4,0
87,121.9,0,0,0,8.3,8.72,2.9,0,0.77,1117.1,87.4,1
84.1,156,0,0,1,3.6,40.8,2,0,2,1050.9,124.8,0
105.2,108.9,0,0,0,2.6,12.88,3.1,0,5.72,863.7,135.8,1
109.1,116.8,1,1,1,1.4,28.08,2.7,0,3.19,1118.3,193.3,1
121.6,137.6,0,0,0,3,9.68,2.9,0,47.96,1207.7,128,1
107.7,136.9,0,0,0,5.5,106.2,2.5,0,9.7,974.1,133.8,1
73.6,200.8,0,0,0,5.8,37.2,2.4,0,1.8,764.3,150.7,0
94.2,127,0,0,0,3.3,13.6,2.6,1,4.3,1133.8,134.7,0
102.9,163.3,0,0,0,5.7,57,2.2,0,24.5,905.7,172.3,0
112.5,115,0,0,0,5.5,55.6,3,0,2,935.2,129.5,1
101.8,196.2,1,1,1,4.6,98,2.8,0,13,1077.9,168.6,0
92.2,131.4,0,0,0,5.5,6.3,2.1,0,4.6,1027.8,162,0
103.8,147.6,1,1,1,3.5,17.2,2.9,0,9.1,791.8,184,0
90.9,99.7,0,0,0,2.6,0.88,2.2,0,12.21,560.9,192.5,1
101.4,162.6,0,0,0,3.9,26.8,2.7,0,7.59,877,149.5,1
98.5,91.1,1,0,0,1.6,1.1,2.1,1,0.4,1058.6,137.3,0
91.4,182.3,1,0,0,5.4,0.6,2.6,1,6.9,704.8,117.3,0
107.4,150.5,0,0,0,0.3,22,3,0,8.3,767,113.4,0
112.2,146.5,1,0,0,4.8,19,2.2,1,4,708,133.9,1
97.2,151.7,0,1,1,4.9,1.04,2.9,1,4.62,1045.9,192.8,1
107.8,204.5,0,0,0,2.4,7.4,2,0,3.5,921.3,179.4,0
99.6,121.4,0,1,1,10.9,6.7,2.4,0,1.9,1016.8,194.4,0
109.5,105.7,0,0,0,1.5,58.64,2.3,0,6.71,1250.8,167.8,1
100,150.6,0,0,0,2.6,11.04,2.2,0,12.54,1442.2,139.2,1
104.2,170.3,0,0,0,3.3,3.3,2.3,0,1.1,1234.5,198.2,0
110.7,95.7,1,1,1,6.8,34.96,2.9,0,21.34,1250.1,152.5,1
95,166.3,0,0,1,6.6,24.4,2.7,0,19.47,593.7,160,1
106.6,114.4,1,1,1,6.8,20.2,2,0,14.7,1182.6,151.1,0
102.5,89.7,1,1,1,4.9,41.36,3.2,0,18.48,1058.6,115.1,1
101.1,160.1,0,0,0,5.1,3.5,2.2,1,7.5,1090.2,151,0
105.6,120.5,0,1,1,11.3,6.4,2.7,1,11.55,766.1,87.7,1
107.9,156.8,1,0,1,4.7,21.36,2.9,1,24.53,815.7,162.4,1
107.8,82,1,0,0,4.3,56.8,2.6,1,13.75,1147.2,173.2,1
97.5,166.2,1,1,1,1.8,9.52,2.5,0,7.81,1072.7,143.9,1
101.6,124,1,0,0,6.4,8.5,2.7,1,10.2,1224,197.4,0
104.4,149.1,0,0,0,2.6,9.4,2.8,1,6.8,1146.3,114.4,0
98.2,138.7,1,0,1,11.1,0.1,2.7,1,10.5,1099.4,103.2,0
105,139,0,0,0,3.6,4.32,2.8,0,0.77,836.5,146.6,1
79.3,162.2,0,0,0,6.5,23.4,2.3,0,6.4,1135.7,125.6,0
107,139.5,1,1,1,7.1,7.52,2.8,0,9.02,848.2,153.5,1
119.4,151.7,1,1,1,5.3,13,2.6,0,29.5,1265.1,165.7,0
107.4,157.4,1,1,1,2.2,28.9,2,0,0.2,987.7,165.8,0
114.4,161.8,0,0,0,4.6,1.4,3,0,14,751.4,145.4,0
119.8,238.2,1,0,0,3.1,63.2,2.4,1,3.4,995.3,146.3,0
99.1,190.7,0,0,1,1.5,32.72,2.2,0,10.34,772.5,83.4,1
107,99.5,0,0,0,1.2,20.88,2.6,0,14.19,945.4,171.8,1
96.7,174.3,0,0,0,1.9,36.3,2.8,1,3.6,1113.4,162.5,0
84.9,158.8,1,0,1,6.8,5.8,2.4,1,0.6,816.9,178.6,0
103,151.4,0,1,1,2.4,3.52,2.7,0,15.4,1176.4,111.9,1
90,209.1,1,0,1,2.6,0.32,2.3,1,3.52,838.9,81.9,1
